iter	RMSE
0	5.232547986
1	5.135034364
2	5.03271582
3	4.936569154
4	4.845428441
5	4.761097846
6	4.69358536
7	4.609381239
8	4.521526358
9	4.438722038
10	4.344951157
11	4.26026783
12	4.188691737
13	4.124087805
14	4.05335121
15	3.99914973
16	3.941532362
17	3.885640525
18	3.819261486
19	3.746983275
20	3.702566719
21	3.645890331
22	3.585856438
23	3.529966306
24	3.47259181
25	3.429831602
26	3.377998699
27	3.332778997
28	3.286157438
29	3.237592435
30	3.184651156
31	3.133075158
32	3.093737972
33	3.046021001
34	3.007269545
35	2.969207265
36	2.922527979
37	2.879130635
38	2.843279843
39	2.805322254
40	2.761593094
41	2.721313492
42	2.682552478
43	2.649018369
44	2.6266091
45	2.588873721
46	2.551063889
47	2.517837741
48	2.488916168
49	2.469577964
50	2.435852691
51	2.399878138
52	2.373775365
53	2.349243058
54	2.323069453
55	2.31085034
56	2.278153465
57	2.248657918
58	2.223874394
59	2.205392203
60	2.177405388
61	2.159525595
62	2.140365927
63	2.129819743
64	2.106306633
65	2.080294674
66	2.072395856
67	2.050702241
68	2.023404823
69	2.006597497
70	1.996024277
71	1.976341384
72	1.963680125
73	1.941369972
74	1.920584725
75	1.902958781
76	1.889208535
77	1.869087476
78	1.85746618
79	1.838460669
80	1.817314293
81	1.795971271
82	1.778600385
83	1.763482416
84	1.744984625
85	1.728697976
86	1.711732637
87	1.701695212
88	1.685588564
89	1.667942236
90	1.661842319
91	1.65501781
92	1.635420362
93	1.623463073
94	1.60716188
95	1.596627719
96	1.578959841
97	1.56614792
98	1.55587803
99	1.54927506
100	1.538731813
101	1.53011436
102	1.517471271
103	1.509093964
104	1.499879187
105	1.48715617
106	1.475081775
107	1.461626366
108	1.447945459
109	1.437287227
110	1.422491959
111	1.407321516
112	1.396538195
113	1.386061594
114	1.378113582
115	1.370384769
116	1.35998274
117	1.344006278
118	1.332376287
119	1.317286823
120	1.310928546
121	1.303525455
122	1.292409924
123	1.281108838
124	1.271423369
125	1.260691353
126	1.254687194
127	1.245857055
128	1.235659482
129	1.227892603
130	1.222728252
131	1.217957407
132	1.208722842
133	1.204921575
134	1.201185276
135	1.189655203
136	1.182415979
137	1.172600485
138	1.160543744
139	1.15713643
140	1.14571628
141	1.133953746
142	1.128942726
143	1.121425631
144	1.117490124
145	1.112312387
146	1.103555661
147	1.096218282
148	1.09296856
149	1.082397302
150	1.079307518
151	1.068321351
152	1.065142697
153	1.054666733
154	1.047801654
155	1.04353183
156	1.036038292
157	1.027014182
158	1.023940598
159	1.014410657
160	1.005017191
161	1.002270204
162	0.9994457005
163	0.9926424099
164	0.9901149046
165	0.9798810867
166	0.9763942129
167	0.9739546349
168	0.9661565349
169	0.9571150431
170	0.9520683574
171	0.9496027108
172	0.9428525919
173	0.9404732005
174	0.9312875852
175	0.9253047966
176	0.9231338221
177	0.920832585
178	0.9144281319
179	0.9094049281
180	0.9073566529
181	0.9030008571
182	0.9007597985
183	0.8987938783
184	0.8944627913
185	0.8922002547
186	0.8876082277
187	0.8847418502
188	0.8800691021
189	0.8782791276
190	0.8746895811
191	0.8689775031
192	0.866195753
193	0.8645024086
194	0.8577714422
195	0.8548764872
196	0.8529058255
197	0.8454246912
198	0.84369076
199	0.8370623584
200	0.8295759131
201	0.8278523274
202	0.826018013
203	0.8231705409
204	0.8215986111
205	0.8199564901
206	0.8185293281
207	0.815424821
208	0.8139357321
209	0.8065611216
210	0.8035182181
211	0.7977707862
212	0.7911695334
213	0.7871432481
214	0.7844149076
215	0.7829986998
216	0.7817145192
217	0.7789142883
218	0.7776817814
219	0.7752545448
220	0.768793919
221	0.7676046744
222	0.7605067976
223	0.7533800262
224	0.7463234909
225	0.7402825114
226	0.7385182636
227	0.7327414527
228	0.7276885731
229	0.7265796662
230	0.7235893707
231	0.7202190705
232	0.7171966263
233	0.7117780608
234	0.7067359458
235	0.7051641155
236	0.7035574519
237	0.6991206618
238	0.695583362
239	0.6940329106
240	0.6887312954
241	0.6843905961
242	0.681403408
243	0.6759934167
244	0.6734878537
245	0.67215358
246	0.6682151907
247	0.6636696047
248	0.6624196547
249	0.6583381434
250	0.6565122324
251	0.6515385691
252	0.6495793907
253	0.6455323143
254	0.6432142225
255	0.6424177445
256	0.6415252518
257	0.6380004988
258	0.6347087024
259	0.6307856569
260	0.627644695
261	0.6268015356
262	0.6241725955
263	0.6233128539
264	0.6224921495
265	0.6216569958
266	0.6197597849
267	0.6169291759
268	0.6161285442
269	0.615474056
270	0.6114309049
271	0.6106606749
272	0.6075225769
273	0.6040344947
274	0.6026213678
275	0.5993743327
276	0.5958289317
277	0.5945655454
278	0.592845549
279	0.5919732137
280	0.5912905763
281	0.5905792018
282	0.5871059393
283	0.5832964183
284	0.5803912614
285	0.5777104459
286	0.5766739123
287	0.5735915611
288	0.5729458439
289	0.5718564647
290	0.5707108673
291	0.5693907103
292	0.5688075748
293	0.5655027479
294	0.5644097157
295	0.5617886281
296	0.5581262843
297	0.5575884766
298	0.5542105345
299	0.5510074247
300	0.5495675043
301	0.5490287139
302	0.5464162399
303	0.543823899
304	0.5429059818
305	0.5402356262
306	0.5378245483
307	0.5373299982
308	0.5342800318
309	0.5338189151
310	0.5333681931
311	0.5308670871
312	0.5304380138
313	0.5287379714
314	0.5273464329
315	0.5269299124
316	0.5250901654
317	0.5239384627
318	0.523180972
319	0.5223434483
320	0.5210982765
321	0.5207267505
322	0.5199253958
323	0.5195390693
324	0.5187777626
325	0.5184138706
326	0.5159925063
327	0.5156162351
328	0.5134455803
329	0.5113206366
330	0.5105827956
331	0.5094895883
332	0.5079898954
333	0.50534456
334	0.5033070077
335	0.501237417
336	0.4991628619
337	0.4975168658
338	0.495792867
339	0.493721612
340	0.493031001
341	0.4921735228
342	0.4915060418
343	0.4903293929
344	0.4900329661
345	0.4878456336
346	0.4867162429
347	0.4849131905
348	0.4839409692
349	0.4830386849
350	0.4819487258
351	0.4807308624
352	0.4787195682
353	0.4780437495
354	0.4772117356
355	0.4756262296
356	0.4744883464
357	0.4727966852
358	0.4713143091
359	0.4700170658
360	0.4689162451
361	0.4681341555
362	0.4675011903
363	0.4658185037
364	0.4648667022
365	0.4632193232
366	0.4621700628
367	0.4611370381
368	0.4597102109
369	0.4590965599
370	0.4569369419
371	0.4559527135
372	0.4550782985
373	0.4529458589
374	0.451555063
375	0.4511289729
376	0.4506329872
377	0.4495792278
