iter	Passed	Remaining
0	56	56167
1	56	28212
2	56	18878
3	56	14175
4	57	11364
5	57	9503
6	57	8152
7	57	7156
8	57	6376
9	58	5748
10	58	5240
11	58	4818
12	58	4458
13	58	4148
14	59	3886
15	59	3655
16	59	3451
17	60	3276
18	60	3113
19	60	2963
20	60	2824
21	60	2697
22	60	2589
23	61	2487
24	61	2392
25	61	2305
26	61	2228
27	62	2157
28	62	2082
29	62	2022
30	62	1958
31	63	1907
32	63	1855
33	63	1804
34	63	1760
35	64	1715
36	64	1673
37	64	1635
38	64	1597
39	65	1560
40	65	1525
41	65	1494
42	65	1465
43	66	1436
44	66	1409
45	66	1381
46	66	1355
47	67	1330
48	67	1307
49	67	1283
50	67	1261
51	68	1242
52	68	1220
53	68	1200
54	68	1180
55	68	1161
56	69	1144
57	69	1126
58	69	1112
59	69	1096
60	70	1080
61	70	1064
62	70	1050
63	70	1036
64	71	1021
65	71	1008
66	71	993
67	71	980
68	71	969
69	72	956
70	72	944
71	72	932
72	72	921
73	72	910
74	73	900
75	73	891
76	73	880
77	73	871
78	73	861
79	74	852
80	74	843
81	74	835
82	74	826
83	74	816
84	75	808
85	75	799
86	75	791
87	75	783
88	75	775
89	75	768
90	76	760
91	76	752
92	76	745
93	76	739
94	76	732
95	76	724
96	77	717
97	77	711
98	77	705
99	77	698
100	77	692
101	77	686
102	78	681
103	78	676
104	78	670
105	78	665
106	79	661
107	79	656
108	79	652
109	79	647
110	80	641
111	80	638
112	80	634
113	81	630
114	81	626
115	81	622
116	81	617
117	82	614
118	82	610
119	82	606
120	82	601
121	83	597
122	83	593
123	83	588
124	83	584
125	83	580
126	83	575
127	83	571
128	84	568
129	84	564
130	84	560
131	84	556
132	84	553
133	84	548
134	85	545
135	85	542
136	85	539
137	85	536
138	86	534
139	86	530
140	86	526
141	86	524
142	86	520
143	87	517
144	87	514
145	87	511
146	87	508
147	87	506
148	88	503
149	88	500
150	88	497
151	88	495
152	88	492
153	89	490
154	89	487
155	89	484
156	89	482
157	90	479
158	90	477
159	90	474
160	90	472
161	90	469
162	90	467
163	91	464
164	91	461
165	91	459
166	91	457
167	91	454
168	92	452
169	92	451
170	92	448
171	92	446
172	92	444
173	93	441
174	93	439
175	93	437
176	93	435
177	93	432
178	93	430
179	94	428
180	94	426
181	94	423
182	94	422
183	94	419
184	94	417
185	94	415
186	95	414
187	95	412
188	95	410
189	95	408
190	96	406
191	96	405
192	96	403
193	96	401
194	96	399
195	96	397
196	97	396
197	97	394
198	97	393
199	98	392
200	98	390
201	98	388
202	98	386
203	98	385
204	98	383
205	99	382
206	99	380
207	99	379
208	99	377
209	99	375
210	100	374
211	100	372
212	100	371
